"AC (Accession Number)","DE (Protein Name)"
"P0C2V1","U15-hexatoxin-Mg1a"
"B3FIS7","U5-theraphotoxin-Hs1b 2"
"Q9TWR5","U27-ctenitoxin-Pn1a"
"B3EWN1","Beta/kappa-theraphotoxin-Pm2a"
"S0F1M6","Omega/kappa-hexatoxin-Ar1g"
"P81596","Omega-hexatoxin-Hv1c"
"S0F207","Omega/kappa-hexatoxin-Hv1g"
"P86716","Spiderine-1a"
"Q5Y4X6","U2-agatoxin-Ao1j"
"Q5Y4X7","U2-agatoxin-Ao1i"
"A9XDG5","Omega-lycotoxin-Gsp2671e"
"S0F1M4","Omega-hexatoxin-Hvn1a"
"P81598","Omega-hexatoxin-Hv1e"
"B6DCL8","U1-lycotoxin-Ls1f"
"B6DCJ6","U1-lycotoxin-Ls1e"
"B3EWT5","Toxin CSTX-20"
"C0HLF5","M-oxotoxin-Ot1b"
"B6DCP5","U1-lycotoxin-Ls1mm"
"B6DD13","U12-lycotoxin-Ls1a"
"P85269","U10-ctenitoxin-Co1a"
"W4VRX3","Toxin ICK-17"
"P36984","U1-plectoxin-Pt1b"
"B6DCL5","U1-lycotoxin-Ls1l"
"P36985","U1-plectoxin-Pt1c"
"B3EWV4","Cupiennin-3d"
"P60979","Omega-filistatoxin-Kh1a"
"P60992","Delta-theraphotoxin-Hm1a"
"B6DCS4","U3-lycotoxin-Ls1k"
"P83258","Delta-amaurobitoxin-Pl1c"
"P0C2S8","U12-ctenitoxin-Pn1a"
"P68424","Omega-theraphotoxin-Hs1a"
"D2Y2B6","Hainantoxin-XV"
"A0A1D0C027","U4-hexatoxin-Hi1a"
"B6DCZ2","U8-lycotoxin-Ls1l"
"P0DL38","Delta/omega-plectoxin-Pt1a"
"P83910","U6-ctenitoxin-Pk1a"
"B6DCY5","U8-lycotoxin-Ls1e"
"B6DCW2","U7-lycotoxin-Ls1a"
"B6DCY9","U8-lycotoxin-Ls1i"
"C0JAY4","Dermonecrotic toxin LsaSicTox-alphaIB1aii"
"C0JB22","Dermonecrotic toxin LarSicTox-alphaIV1"
"C0JAU3","Dermonecrotic toxin LapSicTox-alphaIB2"
"Q5YD75","Dermonecrotic toxin LrSicTox-alphaIB1"
"C0JAV9","Dermonecrotic toxin LapSicTox-alphaIB1b2"
"D2Y246","U3-theraphotoxin-Hhn1l"
"D2Y2N2","U3-theraphotoxin-Hhn1e"
"D2Y1Z9","Mu-theraphotoxin-Hhn2c"
"D2Y280","U11-theraphotoxin-Hhn1j"
"D2Y288","U11-theraphotoxin-Hhn1r"
"D2Y2P6","U11-theraphotoxin-Hhn1a"
"D2Y2R4","Hainantoxin-X-3"
"P0DJE4","Alpha-latrotoxin-Lm1a"
"D2Y297","U11-theraphotoxin-Hhn1a"
"D2Y2D5","U4-theraphotoxin-Hhn1a"
"D2Y1X7","Mu-theraphotoxin-Hhn2b 2"
"P0DL57","Mu-theraphotoxin-Phlo1a"
"W4VRV4","U8-barytoxin-Tl1a"
"Q25338","Delta-latroinsectotoxin-Lt1a"
"D2Y2G7","U3-theraphotoxin-Hhn1n"
"D2Y2M9","U3-theraphotoxin-Hhn1d"
"D2Y2B1","U7-theraphotoxin-Hhn1j"
"D2Y259","U11-theraphotoxin-Hhn1a"
"D2Y261","U11-theraphotoxin-Hhn1a"
"D2Y278","U11-theraphotoxin-Hhn1h"
"D2Y2C6","Hainantoxin-XVII-2"
"D2Y209","U4-theraphotoxin-Hhn1a"
"D2Y2E4","U8-theraphotoxin-Hhn1d"
"D2Y2C9","Hainantoxin-XX"
"P23631","Alpha-latrotoxin-Lt1a"
"D2Y2N7","U3-theraphotoxin-Hhn1i"
"D2Y2K9","U4-theraphotoxin-Hhn1a"
"D2Y1Y7","Mu-theraphotoxin-Hhn2l"
"D2Y274","U11-theraphotoxin-Hhn1e"
"D2Y1Y2","Hainantoxin-III 4"
"D2Y2E2","U8-theraphotoxin-Hhn1c 2"
"D2Y1Z8","Hainantoxin-III 8"
"C0JAZ2","Dermonecrotic toxin LvSicTox-alphaIC1aii"
"C0JB31","Dermonecrotic toxin LhSicTox-alphaVI1i"
"C0JB17","Dermonecrotic toxin LhSicTox-alphaIV2"
"P85145","U14-ctenitoxin-Co1b"
"D2Y210","U4-theraphotoxin-Hhn1a"
"D2Y253","U11-theraphotoxin-Hhn1a"
"P0C2K2","Dermonecrotic toxin LgSicTox-alphaI-1"
"C0JB27","Dermonecrotic toxin LlSicTox-alphaIV2iii"
"D2Y244","U3-theraphotoxin-Hhn1j"
"D2Y2G3","U3-theraphotoxin-Hhn1a 8"
"D2Y2M4","U3-theraphotoxin-Hhn1a 13"
"D2Y265","U11-theraphotoxin-Hhn1a"
"D2Y1Z0","Mu-theraphotoxin-Hhn2o"
"D2Y2P1","Hainantoxin-XVIII-7"
"D2Y2P3","U11-theraphotoxin-Hhn1a"
"W4VS49","U11-barytoxin-Tl1b"
"W4VRU9","Toxin ICK-21"
"W4VS20","U16-barytoxin-Tl1a"
"Q1ELU9","M-zodatoxin-Lt5a"
"D2Y2N4","U3-theraphotoxin-Hhn1a 19"
"D2Y2N5","U3-theraphotoxin-Hhn1g"
"D2Y2D4","U4-theraphotoxin-Hhn1i"
"D2Y2B3","U7-theraphotoxin-Hhn1a 5"
"D2Y2I6","Mu-theraphotoxin-Hhn2i"
"D2Y1Z3","Mu-theraphotoxin-Hhn2j 3"
"D2Y2K7","U4-theraphotoxin-Hhn1a"
"D2Y222","U4-theraphotoxin-Hhn1y"
"P0DM60","Dermonecrotic toxin LiSicTox-alphaIVA1"
"C0JAU9","Dermonecrotic toxin LsaSicTox-alphaIB2iii"
"D2Y225","U4-theraphotoxin-Hhn1f"
"D2Y2C0","U8-theraphotoxin-Hhn1a"
"P0CH59","Hainantoxin F1-31.97"
"W4VRV3","U12-barytoxin-Tl1a"
"W4VS08","U17-barytoxin-Tl1d"
"C0JAW0","Dermonecrotic toxin LarSicTox-alphaIB1b"
"C0JAY8","Dermonecrotic toxin LsaSicTox-alphaIB1aiv"
"C0JAU5","Dermonecrotic toxin LdSicTox-alphaIB2"
"D2Y250","U3-theraphotoxin-Hhn1a 7"
"D2Y237","Omega-theraphotoxin-Hhn1a 1"
"D2Y2H3","U7-theraphotoxin-Hhn1k"
"D2Y232","Mu-theraphotoxin-Hhn1b 1"
"D2Y208","U4-theraphotoxin-Hhn1a"
"D2Y2B4","U7-theraphotoxin-Hhn1a 6"
"D2Y2H8","U6-theraphotoxin-Hhn1a 4"
"D2Y2E8","Omega-theraphotoxin-Hhn1f 2"
"D2Y242","U3-theraphotoxin-Hhn1a 3"
"D2Y2J5","U4-theraphotoxin-Hhn1n"
"D2Y230","U4-theraphotoxin-Hhn1a"
"D2Y1X9","Hainantoxin-III 1"
"D2Y270","U11-theraphotoxin-Hhn1a"
"D2Y289","U11-theraphotoxin-Hhn1s"
"W4VSC0","U11-barytoxin-Tl1a"
"P84027","U1-ctenitoxin-Asp1a"
"C0JAY2","Dermonecrotic toxin LsaSicTox-alphaIB1bi"
"D2Y258","U11-theraphotoxin-Hhn1a"
"D2Y267","U11-theraphotoxin-Hhn1a"
"D2Y2A4","U7-theraphotoxin-Hhn1c"
"D2Y1Y0","Hainantoxin-III 2"
"D2Y224","U4-theraphotoxin-Hhn1e"
"P0CH78","Hainantoxin F8-35.23"
"W4VSB7","Toxin ICK-14"
"D2Y226","U4-theraphotoxin-Hhn1g"
"D2Y2K5","U4-theraphotoxin-Hhn1a"
"D2Y2A0","U7-theraphotoxin-Hhn1a 1"
"P0CH72","U3-theraphotoxin-Hhn1r"
"P85146","U14-ctenitoxin-Co1c"
"P85144","U4-ctenitoxin-Co1c"
"D2Y2G8","U3-theraphotoxin-Hhn1o"
"D2Y2J1","U4-theraphotoxin-Hhn1j"
"D2Y260","U11-theraphotoxin-Hhn1a"
"D2Y2H5","U7-theraphotoxin-Hhn1a 8"
"D2Y2A6","U7-theraphotoxin-Hhn1e"
"P0CH70","U1-theraphotoxin-Hhn1a"
"P0CH73","Hainantoxin F5-22.36"
"C0JB24","Dermonecrotic toxin LlSicTox-alphaIV1ii"
"C0JAS2","Dermonecrotic toxin LhSicTox-alphaIA2biv"
"C0JB16","Dermonecrotic toxin LhSicTox-alphaIV1iii"
"C0JAU1","Dermonecrotic toxin LspaSicTox-alphaIA1ii"
"P0CAZ6","M-zodatoxin-Lt8m"
"D2Y1Y8","Mu-theraphotoxin-Hhn2m"
"D2Y296","U11-theraphotoxin-Hhn1a"
"D2Y2K4","U4-theraphotoxin-Hhn1u"
"P0CH77","U4-theraphotoxin-Hhn1v"
"W4VSI4","U16-barytoxin-Tl1d"
"C0JB04","Dermonecrotic toxin LruSicTox-alphaIC2"
"D2Y2L7","Omega-theraphotoxin-Hhn1a 3"
"D2Y2L0","U4-theraphotoxin-Hhn1a"
"D2Y205","U4-theraphotoxin-Hhn1a"
"D2Y2P0","Hainantoxin-XVIII-6"
"D2Y207","U4-theraphotoxin-Hhn1a"
"D2Y2K3","U4-theraphotoxin-Hhn1t"
"D2Y2I2","U11-theraphotoxin-Hhn1a"
"D2Y2C4","Hainantoxin-X"
"P85032","U21-ctenitoxin-Co1a"
"D2Y254","U11-theraphotoxin-Hhn1a"
"D2Y2A8","U7-theraphotoxin-Hhn1g"
"D2Y2D3","Hainantoxin-III 11"
"D2Y2C1","U6-theraphotoxin-Hhn1a 1"
"D2Y1Y5","Mu-theraphotoxin-Hhn2j 2"
"D2Y2E3","U8-theraphotoxin-Hhn1c 3"
"D2Y235","Mu-theraphotoxin-Hhn1d"
"D2Y2H0","Hainantoxin-XX.2"
"D2Y1Z5","Mu-theraphotoxin-Hhn2j 4"
"D2Y266","U11-theraphotoxin-Hhn1a"
"D2Y217","U4-theraphotoxin-Hhn1z"
"D2Y2C5","Hainantoxin-XVII"
"D2Y2A3","U7-theraphotoxin-Hhn1b"
"P0CH74","Hainantoxin F6-34.84"
"C0JAV6","Dermonecrotic toxin LapSicTox-alphaIB1aiv"
"C0JAW9","Dermonecrotic toxin LdSicTox-alphaIB1aiv"
"C0JAR0","Dermonecrotic toxin LhSicTox-alphaIA2aiv"
"D2Y2B2","U7-theraphotoxin-Hhn1a 4"
"D2Y2B0","U7-theraphotoxin-Hhn1i"
"D2Y2B5","U7-theraphotoxin-Hhn1a 7"
"D2Y1Y4","Mu-theraphotoxin-Hhn2j 1"
"D2Y269","U11-theraphotoxin-Hhn1a"
"D2Y2D6","U4-theraphotoxin-Hhn1a"
"C0JB32","Dermonecrotic toxin LhSicTox-alphaVI1ii"
"C0JAZ3","Dermonecrotic toxin LvSicTox-alphaIC1aiii"
"C0JAQ8","Dermonecrotic toxin LhSicTox-alphaIA2aii"
"C0JAV8","Dermonecrotic toxin LapSicTox-alphaIB1bi"
"C0JAS0","Dermonecrotic toxin LhSicTox-alphaIA2bii"
"C0JB13","Dermonecrotic toxin LlSicTox-alphaIII3iii"
"P0DL77","U1-theraphotoxin-Ct1a"
"D2Y245","U3-theraphotoxin-Hhn1k"
"D2Y2A7","U7-theraphotoxin-Hhn1f"
"C0JB10","Dermonecrotic toxin Ls4SicTox-alphaIII1i"
"C0JB03","Dermonecrotic toxin LruSicTox-alphaIC1a"
"C0JAV7","Dermonecrotic toxin LapSicTox-alphaIB1c"
"P85255","M-zodatoxin-Lt8c"
"P0CAZ4","M-zodatoxin-Lt8k"
"C0JB75","Dermonecrotic toxin SdSicTox-betaIIB1bv"
"C0JB83","Dermonecrotic toxin SdSicTox-betaIIB1bix"
"D2Y281","U11-theraphotoxin-Hhn1k"
"D2Y256","U11-theraphotoxin-Hhn1a"
"D2Y275","U11-theraphotoxin-Hhn1f"
"D2Y277","U11-theraphotoxin-Hhn1g"
"D2Y2N9","Hainantoxin-XVIII-5"
"D2Y218","U4-theraphotoxin-Hhn1c"
"C0JB42","Dermonecrotic toxin LspiSicTox-betaIE2ii"
"C0JB67","Dermonecrotic toxin SpeSicTox-betaIIA1"
"C0HJV3","Cytoinsectotoxin-2a"
"P0CAZ2","M-zodatoxin-Lt8i"
"C0JAS1","Dermonecrotic toxin LhSicTox-alphaIA2biii"
"P13494","Delta-hexatoxin-Hv1a"
"P0DL78","U1-theraphotoxin-Ct1b"
"P0CAZ8","M-zodatoxin-Lt8p"
